rax,syscall,rdi,rsi,rdx,rcx,r8,r9
85,creat,const char *pathname,umode_t mode,,,,
86,link,const char *oldname,const char *newname,,,,
87,unlink,const char *pathname,,,,,
88,symlink,const char *oldname,const char *newname,,,,
89,readlink,const char *path,char *buf,int bufsiz,,,
90,chmod,const char *filename,umode_t mode,,,,
91,fchmod,unsigned int fd,umode_t mode,,,,
92,chown,const char *filename,uid_t user,gid_t group,,,
93,fchown,unsigned int fd,uid_t user,gid_t group,,,
94,lchown,const char *filename,uid_t user,gid_t group,,,
95,umask,int mask,,,,,
96,gettimeofday,struct timeval *tv,struct timezone *tz,,,,
97,getrlimit,unsigned int resource,struct rlimit *rlim,,,,
98,getrusage,int who,struct rusage *ru,,,,
99,sysinfo,struct sysinfo *info,,,,,
100,times,struct tms *tbuf,,,,,
101,ptrace,long request,long pid,unsigned long addr,unsigned long data,,
102,getuid,,,,,,
103,syslog,int type,char *buf,int len,,,
104,getgid,,,,,,
105,setuid,uid_t uid,,,,,
106,setgid,gid_t gid,,,,,
107,geteuid,,,,,,
108,getegid,,,,,,
109,setpgid,pid_t pid,pid_t pgid,,,,
110,getppid,,,,,,
111,getpgrp,,,,,,
112,setsid,,,,,,
113,setreuid,uid_t ruid,uid_t euid,,,,
114,setregid,gid_t rgid,gid_t egid,,,,
115,getgroups,int gidsetsize,gid_t *grouplist,,,,
116,setgroups,int gidsetsize,gid_t *grouplist,,,,
117,setresuid,uid_t ruid,uid_t euid,uid_t suid,,,
118,getresuid,uid_t *ruidp,uid_t *euidp,uid_t *suidp,,,
119,setresgid,gid_t rgid,gid_t egid,gid_t sgid,,,
120,getresgid,gid_t *rgidp,gid_t *egidp,gid_t *sgidp,,,
121,getpgid,pid_t pid,,,,,
122,setfsuid,uid_t uid,,,,,
123,setfsgid,gid_t gid,,,,,
124,getsid,pid_t pid,,,,,
125,capget,cap_user_header_t header,cap_user_data_t dataptr,,,,
126,capset,cap_user_header_t header,const cap_user_data_t data,,,,
127,rt_sigpending,sigset_t *set,size_t sigsetsize,,,,
128,rt_sigtimedwait,const sigset_t *uthese,siginfo_t *uinfo,const struct timespec *uts,size_t sigsetsize,,
129,rt_sigqueueinfo,pid_t pid,int sig,siginfo_t *uinfo,,,
130,rt_sigsuspend,sigset_t *unewset,size_t sigsetsize,,,,
131,sigaltstack,const stack_t *uss,stack_t *uoss,,,,
132,utime,char *filename,struct utimbuf *times,,,,
133,mknod,const char *filename,umode_t mode,unsigned dev,,,
134,uselib,,,,,,
135,personality,unsigned int personality,,,,,
136,ustat,unsigned dev,struct ustat *ubuf,,,,
137,statfs,const char *pathname,struct statfs *buf,,,,
138,fstatfs,unsigned int fd,struct statfs *buf,,,,
139,sysfs,int option,unsigned long arg1,unsigned long arg2,,,
140,getpriority,int which,int who,,,,
141,setpriority,int which,int who,int niceval,,,
142,sched_setparam,pid_t pid,struct sched_param *param,,,,
143,sched_getparam,pid_t pid,struct sched_param *param,,,,
144,sched_setscheduler,pid_t pid,int policy,struct sched_param *param,,,
145,sched_getscheduler,pid_t pid,,,,,
146,sched_get_priority_max,int policy,,,,,
147,sched_get_priority_min,int policy,,,,,
148,sched_rr_get_interval,pid_t pid,struct timespec *interval,,,,
149,mlock,unsigned long start,size_t len,,,,
150,munlock,unsigned long start,size_t len,,,,
151,mlockall,int flags,,,,,
152,munlockall,,,,,,
153,vhangup,,,,,,
154,modify_ldt,int func,void *ptr,unsigned long bytecount,,,
155,pivot_root,const char *new_root,const char *put_old,,,,
156,_sysctl,struct __sysctl_args *args,,,,,
157,prctl,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,
158,arch_prctl,int code,unsigned long addr,,,,
159,adjtimex,struct timex *txc_p,,,,,
160,setrlimit,unsigned int resource,struct rlimit *rlim,,,,
161,chroot,const char *filename,,,,,
162,sync,,,,,,
163,acct,const char *name,,,,,
164,settimeofday,struct timeval *tv,struct timezone *tz,,,,
165,mount,char *dev_name,char *dir_name,char *type,unsigned long flags,void *data,
166,umount2,char *name,int flags,,,,
167,swapon,const char *specialfile,int swap_flags,,,,
168,swapoff,const char *specialfile,,,,,
169,reboot,int magic1,int magic2,unsigned int cmd,void *arg,,
170,sethostname,char *name,int len,,,,
171,setdomainname,char *name,int len,,,,
172,iopl,unsigned int level,,,,,
173,ioperm,unsigned long from,unsigned long num,int turn_on,,,
174,create_module,,,,,,
175,init_module,void *umod,unsigned long len,const char *uargs,,,
176,delete_module,const char *name_user,unsigned int flags,,,,
177,get_kernel_syms,,,,,,
178,query_module,,,,,,
179,quotactl,unsigned int cmd,const char *special,qid_t id,void *addr,,
180,nfsservctl,,,,,,
181,getpmsg,,,,,,
182,putpmsg,,,,,,
183,afs_syscall,,,,,,
184,tuxcall,,,,,,
185,security,,,,,,
186,gettid,,,,,,
187,readahead,loff_t offset size_t count,,,,,
188,setxattr,const char *pathname,const char *name,const void *value,size_t size,int flags,
189,lsetxattr,const char *pathname,const char *name,const void *value,size_t size,int flags,
190,fsetxattr,int fd,const char *name,const void *value,size_t size,int flags,
191,getxattr,const char *pathname,const char *name,void *value,size_t size,,
192,lgetxattr,const char *pathname,const char *name,void *value,size_t size,,
193,fgetxattr,int fd,const char *name,void *value,size_t size,,
194,listxattr,const char *pathname,char *list,size_t size,,,
195,llistxattr,const char *pathname,char *list,size_t size,,,
196,flistxattr,int fd,char *list,size_t size,,,
197,removexattr,const char *pathname,const char *name,,,,
198,lremovexattr,const char *pathname,const char *name,,,,
199,fremovexattr,int fd,const char *name,,,,
200,tkill,pid_t pid,int sig,,,,
201,time,time_t *tloc,,,,,
202,futex,u32 *uaddr,int op,u32 val,struct timespec *utime,u32 *uaddr2,u32 val3
203,sched_setaffinity,pid_t pid,unsigned int len,unsigned long *user_mask_ptr,,,
204,sched_getaffinity,pid_t pid,unsigned int len,unsigned long *user_mask_ptr,,,
205,set_thread_area,,,,,,
206,io_setup,unsigned nr_events,aio_context_t *ctxp,,,,
207,io_destroy,aio_context_t ctx,,,,,
208,io_getevents,aio_context_t ctx_id,long min_nr,long nr,struct io_event *events,struct timespec *timeout,
209,io_submit,aio_context_t ctx_id,long nr,struct iocb * *iocbpp,,,
210,io_cancel,aio_context_t ctx_id,struct iocb *iocb,struct io_event *result,,,
211,get_thread_area,,,,,,
212,lookup_dcookie,char *buf size_t len,,,,,
213,epoll_create,int size,,,,,
214,epoll_ctl_old,,,,,,
215,epoll_wait_old,,,,,,
216,remap_file_pages,unsigned long start,unsigned long size,unsigned long prot,unsigned long pgoff,unsigned long flags,
217,getdents64,unsigned int fd,struct linux_dirent64 *dirent,unsigned int count,,,
218,set_tid_address,int *tidptr,,,,,
219,restart_syscall,,,,,,
220,semtimedop,int semid,struct sembuf *tsops,unsigned nsops,const struct timespec *timeout,,
221,fadvise64,loff_t offset size_t len,int advice,,,,
222,timer_create,const clockid_t which_clock,struct sigevent *timer_event_spec,timer_t *created_timer_id,,,
223,timer_settime,timer_t timer_id,int flags,const struct itimerspec *new_setting,struct itimerspec *old_setting,,
224,timer_gettime,timer_t timer_id,struct itimerspec *setting,,,,
225,timer_getoverrun,timer_t timer_id,,,,,
226,timer_delete,timer_t timer_id,,,,,
227,clock_settime,const clockid_t which_clock,const struct timespec *tp,,,,
228,clock_gettime,const clockid_t which_clock,struct timespec *tp,,,,
229,clock_getres,const clockid_t which_clock,struct timespec *tp,,,,
230,clock_nanosleep,const clockid_t which_clock,int flags,const struct timespec *rqtp,struct timespec *rmtp,,
231,exit_group,int error_code,,,,,
232,epoll_wait,int epfd,struct epoll_event *events,int maxevents,int timeout,,
233,epoll_ctl,int epfd,int op,int fd,struct epoll_event *event,,
234,tgkill,pid_t tgid,pid_t pid,int sig,,,
235,utimes,char *filename,struct timeval *utimes,,,,
236,vserver,,,,,,
237,mbind,unsigned long start,unsigned long len,unsigned long mode,unsigned long *nmask,unsigned long maxnode,unsigned flags
238,set_mempolicy,int mode,unsigned long *nmask,unsigned long maxnode,,,
239,get_mempolicy,int *policy,unsigned long *nmask,unsigned long maxnode,unsigned long addr,unsigned long flags,
240,mq_open,const char *u_name,int oflag,umode_t mode,struct mq_attr *u_attr,,
241,mq_unlink,const char *u_name,,,,,
242,mq_timedsend,mqd_t mqdes,const char *u_msg_ptr,size_t msg_len,unsigned int msg_prio,const struct timespec *u_abs_timeout,
243,mq_timedreceive,mqd_t mqdes,char *u_msg_ptr,size_t msg_len,unsigned int *u_msg_prio,const struct timespec *u_abs_timeout,
244,mq_notify,mqd_t mqdes,const struct sigevent *u_notification,,,,
245,mq_getsetattr,mqd_t mqdes,const struct mq_attr *u_mqstat,struct mq_attr *u_omqstat,,,
246,kexec_load,unsigned long entry,unsigned long nr_segments,struct kexec_segment *segments,unsigned long flags,,
247,waitid,int which,pid_t upid,struct siginfo *infop,int options,struct rusage *ru,
248,add_key,const char *_type,const char *_description,const void *_payload,size_t plen,key_serial_t ringid,
249,request_key,const char *_type,const char *_description,const char *_callout_info,key_serial_t destringid,,
250,keyctl,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,
251,ioprio_set,int which,int who,int ioprio,,,
252,ioprio_get,int which,int who,,,,
253,inotify_init,,,,,,
254,inotify_add_watch,int fd,const char *pathname,u32 mask,,,
255,inotify_rm_watch,int fd,__s32 wd,,,,
256,migrate_pages,pid_t pid,unsigned long maxnode,const unsigned long *old_nodes,const unsigned long *new_nodes,,
257,openat,int dfd,const char *filename,int flags,umode_t mode,,
258,mkdirat,int dfd,const char *pathname,umode_t mode,,,
259,mknodat,int dfd,const char *filename,umode_t mode,unsigned dev,,
260,fchownat,int dfd,const char *filename,uid_t user,gid_t group,int flag,
261,futimesat,int dfd,const char *filename,struct timeval *utimes,,,
262,newfstatat,int dfd,const char *filename,struct stat *statbuf,int flag,,
263,unlinkat,int dfd,const char *pathname,int flag,,,
264,renameat,int olddfd,const char *oldname,int newdfd,const char *newname,,
265,linkat,int olddfd,const char *oldname,int newdfd,const char *newname,int flags,
266,symlinkat,const char *oldname,int newdfd,const char *newname,,,
267,readlinkat,int dfd,const char *pathname,char *buf,int bufsiz,,
268,fchmodat,int dfd,const char *filename,umode_t mode,,,
269,faccessat,int dfd,const char *filename,int mode,,,
270,pselect6,int n,fd_set *inp,fd_set *outp,fd_set *exp,struct timespec *tsp,void *sig
271,ppoll,struct pollfd *ufds,unsigned int nfds,struct timespec *tsp,const sigset_t *sigmask,size_t sigsetsize,
272,unshare,unsigned long unshare_flags,,,,,
273,set_robust_list,struct robust_list_head *head,size_t len,,,,
274,get_robust_list,int pid,struct robust_list_head * *head_ptr,size_t *len_ptr,,,
275,splice,int fd_in,loff_t *off_in,int fd_out,loff_t *off_out,size_t len,unsigned int flags
276,tee,int fdin,int fdout,size_t len,unsigned int flags,,
277,sync_file_range,loff_t offset loff_t nbytes,unsigned int flags,,,,
278,vmsplice,int fd,const struct iovec *iov,unsigned long nr_segs,unsigned int flags,,
279,move_pages,pid_t pid,unsigned long nr_pages,const void * *pages,const int *nodes,int *status,int flags
280,utimensat,int dfd,const char *filename,struct timespec *utimes,int flags,,
281,epoll_pwait,int epfd,struct epoll_event *events,int maxevents,int timeout,const sigset_t *sigmask,size_t sigsetsize
282,signalfd,int ufd,sigset_t *user_mask,size_t sizemask,,,
283,timerfd_create,int clockid,int flags,,,,
284,eventfd,unsigned int count,,,,,
285,fallocate,int mode loff_t offset,loff_t len,,,,
286,timerfd_settime,int ufd,int flags,const struct itimerspec *utmr,struct itimerspec *otmr,,
287,timerfd_gettime,int ufd,struct itimerspec *otmr,,,,
288,accept4,int fd,struct sockaddr *upeer_sockaddr,int *upeer_addrlen,int flags,,
289,signalfd4,int ufd,sigset_t *user_mask,size_t sizemask,int flags,,
290,eventfd2,unsigned int count,int flags,,,,
291,epoll_create1,int flags,,,,,
292,dup3,unsigned int oldfd,unsigned int newfd,int flags,,,
293,pipe2,int *fildes,int flags,,,,
294,inotify_init1,int flags,,,,,
295,preadv,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,
296,pwritev,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,
297,rt_tgsigqueueinfo,pid_t tgid,pid_t pid,int sig,siginfo_t *uinfo,,
298,perf_event_open,struct perf_event_attr *attr_uptr,pid_t pid,int cpu,int group_fd,unsigned long flags,
299,recvmmsg,int fd,struct mmsghdr *mmsg,unsigned int vlen,unsigned int flags,struct timespec *timeout,
300,fanotify_init,unsigned int flags,unsigned int event_f_flags,,,,
301,fanotify_mark,unsigned int flags __u64 mask,int dfd const char *pathname,,,,
302,prlimit64,pid_t pid,unsigned int resource,const struct rlimit64 *new_rlim,struct rlimit64 *old_rlim,,
303,name_to_handle_at,int dfd,const char *name,struct file_handle *handle,int *mnt_id,int flag,
304,open_by_handle_at,int mountdirfd,struct file_handle *handle,int flags,,,
305,clock_adjtime,const clockid_t which_clock,struct timex *utx,,,,
306,syncfs,int fd,,,,,
307,sendmmsg,int fd,struct mmsghdr *mmsg,unsigned int vlen,unsigned int flags,,
308,setns,int fd,int nstype,,,,
309,getcpu,unsigned *cpup,unsigned *nodep,struct getcpu_cache *unused,,,
310,process_vm_readv,pid_t pid,const struct iovec *lvec,unsigned long liovcnt,const struct iovec *rvec,unsigned long riovcnt,unsigned long flags
311,process_vm_writev,pid_t pid,const struct iovec *lvec,unsigned long liovcnt,const struct iovec *rvec,unsigned long riovcnt,unsigned long flags
312,kcmp,pid_t pid1,pid_t pid2,int type,unsigned long idx1,unsigned long idx2,
